User Input,Chatbot Response,Timestamp
who is the head of the computer networking ,"Common roofing materials include asphalt shingles, metal, tile, and slate.",2025-03-23 23:24:48
who is the head of the computer networking at psg polytechnic college,"Common roofing materials include asphalt shingles, metal, tile, and slate.",2025-03-23 23:25:09
Who is the Head of the Department of Computer Networking at PSG Polytechnic College?,The purpose of a roof is to protect the house from weather elements and provide insulation.,2025-03-23 23:25:27
What is the importance of the Computer Networking course?,The purpose of a roof is to protect the house from weather elements and provide insulation.,2025-03-23 23:25:43
head of the department of computer networking,The purpose of a roof is to protect the house from weather elements and provide insulation.,2025-03-23 23:31:13
who is the head of the department of computer networking,The purpose of a roof is to protect the house from weather elements and provide insulation.,2025-03-23 23:31:34
Which subjects are taught in the Computer Networking department?,"The department covers various subjects   including Computer Hardware, computer networking and wireless networks",2025-03-23 23:32:30
Which subjects are taught in the Computer Networking department?,"The department covers various subjects   including Computer Hardware, computer networking and wireless networks",2025-03-23 23:34:01
Solving enchanted riddles,Enchanted riddles are puzzles that challenge the mind and are often associated with quests and adventures in folklore and fantasy tales.,2025-03-24 06:36:25
Where is PSG Polytechnic College located in Coimbatore?,"PSG Polytechnic College is situated in Peelamedu, along Avinashi Road, a major arterial road in Coimbatore. The campus is approximately 5 kilometers from both the Coimbatore Junction railway station and Coimbatore International Airport, making it accessible via various modes of transportation.",2025-03-24 06:39:50
Who is the Head of the Department of Computer Networking at PSG Polytechnic College?,Dr Brindha Subbiah serves as the Head of the Department of Computer Networking. She has been associated with PSG Polytechnic College since 2000 and completed her PhD at PSG College of Technology in 2015,2025-03-24 06:46:05
head of the department of computer networking,Dr Brindha Subbiah serves as the Head of the Department of Computer Networking. She has been associated with PSG Polytechnic College since 2000 and completed her PhD at PSG College of Technology in 2015,2025-03-24 06:46:29
What is the importance of the Computer Networking course?,"Established in 1998, the Department of Computer Networking offers a three-year Diploma Programme in Computer Networking. The curriculum is designed to provide students with comprehensive knowledge in networking technologies, preparing them for the evolving demands of the IT industry.",2025-03-24 06:46:42
Who is the Head of the Department of Computer Networking at PSG Polytechnic College?,Dr Brindha Subbiah serves as the Head of the Department of Computer Networking. She has been associated with PSG Polytechnic College since 2000 and completed her PhD at PSG College of Technology in 2015,2025-03-24 06:57:11
What subjects are covered in the Computer Networking department?,"The finishing stage includes installing drywall, painting, flooring, and fixtures.",2025-03-24 20:30:28
How many departments are there in PSG Polytechnic College?,"A foundation is the lower portion of a building that transfers its load to the ground. Common types include slab, crawl space, and basement foundations.",2025-03-24 20:31:00
How can a student find the Computer Networking Department at PSG Polytechnic College?,"To reach the Computer Networking Department, proceed to the third floor of the main academic building, turn left, and it is the first classroom on that side.",2025-03-24 20:31:49
What subjects are covered in the Computer Networking department?,Drywall is a panel made of gypsum used to create interior walls and ceilings.,2025-03-24 20:35:22
Which companies hire Electrical Engineering students?,"Core subjects include Circuit Theory, Electrical Machines, Power Systems, Microcontrollers, and Power Electronics.",2025-03-24 20:36:03
What are the career opportunities for Electrical students?,"Core subjects include Circuit Theory, Electrical Machines, Power Systems, Microcontrollers, and Power Electronics.",2025-03-24 20:36:35
Does PSG Polytechnic provide CCNA certification training?,"To obtain building permits, you must submit your plans to the local building department for approval.",2025-03-24 20:36:57
Which companies hire IT students from PSG Polytechnic College?,"You typically need a building permit, zoning permit, and possibly environmental permits, depending on your location.",2025-03-24 20:37:14
What subjects are taught in the Mechanical Engineering department?,"Mechanical Engineering covers subjects like Engineering Mechanics, Thermodynamics, Machine Design, Fluid Mechanics, and CAD.",2025-03-24 20:37:46
How many departments are there in PSG Polytechnic College?,"A foundation is the lower portion of a building that transfers its load to the ground. Common types include slab, crawl space, and basement foundations.",2025-03-24 20:38:13
What are the names of all the departments in PSG Polytechnic College?,"The finishing stage includes installing drywall, painting, flooring, and fixtures.",2025-03-24 20:38:35
head of the department,Dr Brindha Subbiah serves as the Head of the Department of Computer Networking. She has been associated with PSG Polytechnic College since 2000 and completed her PhD at PSG College of Technology in 2015,2025-03-24 20:40:24
